,Dia,GDCD,Hoa,Li,Ma_mon_ngoai_ngu,Ngoai_ngu,Sinh,Su,Toan,Van,sbd
0,7.75,8.75,,,N1,7.6,,8.25,8.2,8,24008611
1,,,4.5,8.25,N1,8,6,,8.6,6.17,51000032
2,4.25,5.75,,,,,,4,5.2,4.75,51000005
3,4.75,5,,,,,,2.25,4.4,4.5,51000021
4,8.25,7.5,,,N1,4.4,,7.75,5.8,6,51000013
5,,,5.75,7.5,N1,4.4,3,,7.2,6.75,51000003
6,,,,,,,,3.25,2.2,5.75,51000001
7,6.25,8.75,,,N1,8.8,,5.25,5,6.5,51000011
8,,,3.5,5.5,N1,2.2,3.75,,5.6,4.5,51000007
9,7.5,8.5,,,N1,5.2,,3.25,6.6,7,51000010
10,7.25,9,,,N1,4.8,,7,7.4,9,51000018
11,5.25,7.5,,,N1,5.2,,3.5,5.2,6.67,51000028
12,,,,,,,,5,5.8,5,51000020
13,7.5,8.75,,,N1,6.6,,7,8.4,7,51000034
14,,,5,7,N1,3.6,4.75,,7,6.25,51000014
15,,,6.75,8,N1,8.8,6.25,,7.8,7.25,51000019
16,,,2.75,3.75,N1,2.8,2.75,,6,4.75,51000006
17,6.75,8.75,,,N1,6.6,,6.25,5.8,6.5,51000033
18,6.25,6,,,N1,7.2,,4,6.8,6.75,51000024
19,7.5,,,,,,,3.25,,4.25,51000042
20,4.25,,,,,,,2.75,2.2,3.75,51000004
21,,,6.5,7.25,N1,3.4,4.5,,7.6,5.75,51000026
22,7,8,,,N1,5,,4.75,6.4,6.5,51000039
23,6.5,8,,,N1,5.2,,4.75,5.2,6.75,51000002
24,7.75,8,,,N1,7.8,,6.75,7.6,7.25,51000027
25,,,4.25,9,N1,8.8,4.25,,7.4,5,51000008
26,6.75,7.75,,,N1,6.2,,3,5.4,7,51000012
27,,,6.75,6.75,N1,5.4,3.75,,7.4,6.5,51000040
28,,,6.5,6.75,N1,6.6,4.5,,8.2,6.83,51000029
29,6.5,8,,,N1,7.2,,4,6.8,7.5,51000046
